name,description,type,postalCode,address,phoneNumber,longitude,latitude,url,imageUrl,/end
松戸運動公園,,スポーツ施設,271-0064,松戸市上本郷4434,047-363-9241,35.796328,139.925185,http://www.city.matsudo.chiba.jp/shisetsu-guide/sports/unndoukouen.html,https://upload.wikimedia.org/wikipedia/ja/thumb/1/16/Matsudo_undoukouen_02.jpg/280px-Matsudo_undoukouen_02.jpg,
柿ノ木台公園体育館,,スポーツ施設,271-0092,松戸市松戸594-7,047-331-1131,35.77304,139.903325,,,
金ケ作公園庭球場,,スポーツ施設,270-2261,松戸市常盤平3-27-1,047-387-2131,35.798832,139.954839,,,
紙敷庭球場,,スポーツ施設,270-2221,松戸市紙敷2-1-1,047-363-9241,35.774851,139.953624,,,
栗ヶ沢公園庭球場,,スポーツ施設,270-0021,松戸市小金原8-26,047-342-0945,35.813547,139.944174,,,
クリーンセンター内スポーツ施設,,スポーツ施設,270-2201,松戸市高柳新田３７番地,047-385-7100,35.805813,139.987144,,,
古ヶ崎河川敷スポーツ広場,,スポーツ施設,,松戸市古ヶ崎地先,047-363-9241,35.800725,139.892564,,,
小金原体育館,,スポーツ施設,270-0021,松戸市小金原6-4-1,047-341-2242,35.819112,139.946138,,,
新松戸庭球場,,スポーツ施設,271-0042,松戸市主水新田477-3,047-343-5111,35.81847,139.896501,,,
新松戸プール,,スポーツ施設,270-0035,松戸市新松戸南2-3,047-363-9241,35.821304,139.911355,,,
青少年会館体育室,,スポーツ施設,270-0035,松戸市新松戸南２－２,047-344-8556,35.821323,139.91201,,,
千駄堀暫定スポーツ広場,,スポーツ施設,,,,35.805524,139.934406,,,
中央ゲートボール場,,スポーツ施設,270-2266,松戸市常盤平西窪町26,047-385-2660,35.794912,139.942761,,,
東部スポーツパーク,,スポーツ施設,270-2222,松戸市高塚新田４２７番地,047-391-0944,35.764025,139.937611,,,
常盤平体育館,,スポーツ施設,270-2264,松戸市常盤平松葉町1-3,047-386-0111,35.794934,139.945462,,,
松戸中央公園,,スポーツ施設,271-0076,松戸市岩瀬487-1,047-363-9241,35.782597,139.903169,,,
和名ケ谷スポーツセンター,,スポーツ施設,270-2232,松戸市和名ケ谷１３６０番地,047-391-5990,35.777128,139.918923,,,
松戸市市民交流会館（運動施設）,,スポーツ施設,270-0034,松戸市新松戸5-179-1,047-349-6530,35.8302137,139.9083172,,,
明市民センター,,市民センター,271-0064,松戸市上本郷2676番地の6,047-368-6700,35.790145,139.915998,,,
古ヶ崎市民センター,,市民センター,271-0068,松戸市古ヶ崎4丁目3490番地,047-367-7700,35.803498,139.900884,,,
小金北市民センター,,市民センター,270-0007,松戸市中金杉二丁目159番地の2,047-343-3191,35.839824,139.926354,,,
小金市民センター,,市民センター,270-0013,松戸市小金きよしヶ丘3丁目1番地の1,047-343-8641,35.828561,139.933784,,,
小金原市民センター,,市民センター,270-0021,松戸市小金原6丁目6番地の2,047-344-8268,35.819116,139.944288,,,
五香市民センター,,市民センター,270-2213,松戸市五香二丁目35番地の5,047-386-8300,35.795617,139.972322,,,
新松戸市民センター,,市民センター,270-0034,松戸市新松戸3丁目27番地,047-343-6500,35.826397,139.912812,,,
東部市民センター,,市民センター,270-2222,松戸市高塚新田494番地の9,047-391-3701,35.758127,139.935171,,,
常盤平市民センター,,市民センター,270-2261,松戸市常盤平3丁目30番地,047-387-2529,35.798678,139.952562,,,
二十世紀が丘市民センター,,市民センター,271-0085,松戸市二十世紀が丘中松町2番地,047-392-7021,35.771487,139.908393,,,
八ヶ崎市民センター,,市民センター,270-0023,松戸市八ヶ崎5丁目15番地の1,047-348-6667,35.808778,139.934779,,,
松飛台市民センター,,市民センター,270-2214,松戸市松飛台210番地の2,047-386-6000,35.784826,139.964726,,,
馬橋市民センター,,市民センター,271-0046,松戸市西馬橋蔵元町177番地,047-342-9690,35.814098,139.912431,,,
馬橋東市民センター,,市民センター,271-0051,松戸市馬橋1854番地の3,047-346-2055,35.808443,139.919523,,,
稔台市民センター,,市民センター,270-2231,松戸市稔台7丁目1番地の5,047-367-6420,35.788217,139.929423,,,
六実市民センター,,市民センター,270-2203,松戸市六高台3丁目71番地,047-385-0116,35.796348,139.990365,,,
八柱市民センター,,市民センター,270-2267,松戸市牧の原一丁目193番地の6,047-388-3570,35.790232,139.946162,,,
松戸市立図書館本館,,図書館,271-0092,松戸市松戸2060,047-365-5115,35.785835,139.895955,,,
松戸市立明分館,,図書館,271-0064,松戸市上本郷2676-6,047-368-6705,35.790146,139.915997,,,
松戸市立古ヶ崎分館,,図書館,271-0068,松戸市古ヶ崎4-3490,047-367-4500,35.803542,139.900898,,,
松戸市立小金北分館,,図書館,270-2227,松戸市中金杉2-159-2,047-343-3302,35.839824,139.926353,,,
松戸市立小金原分館,,図書館,270-0021,松戸市小金原6-6-2,047-344-8269,35.81903,139.944363,,,
松戸市立小金分館,,図書館,270-0013,松戸市小金きよしケ丘3-1-1,047-343-8658,35.82855,139.933728,,,
松戸市立五香分館,,図書館,270-2213,松戸市五香2-35-5,047-386-8250,35.795612,139.972248,,,
松戸市立新松戸分館,,図書館,270-0034,松戸市新松戸3-27,047-343-6006,35.826411,139.912821,,,
松戸市立東部分館,,図書館,270-2222,松戸市高塚新田427,047-391-0595,35.764025,139.937611,,,
松戸市立常盤平分館,,図書館,270-2261,松戸市常盤平3-30,047-387-2528,35.798693,139.952873,,,
松戸市立二十世紀が丘分館,,図書館,271-0085,松戸市二十世紀が丘中松町2,047-392-7022,35.771487,139.908393,,,
松戸市立八ヶ崎分館,,図書館,270-0023,松戸市八ヶ崎5-15-1,047-348-6636,35.808778,139.934778,,,
松戸市立松飛台分館,,図書館,270-2214,松戸市松飛台210-2,047-386-6401,35.784826,139.964727,,,
松戸市立馬橋東分館,,図書館,271-0051,松戸市馬橋1854-3,047-346-2054,35.808397,139.91956,,,
松戸市立馬橋分館,,図書館,271-0046,松戸市西馬橋蔵元町177,047-341-4100,35.814074,139.912341,,,
松戸市立稔台分館,,図書館,270-2231,松戸市稔台7-1-5,047-367-7196,35.788226,139.929407,,,
松戸市立六実分館,,図書館,270-2203,松戸市六高台3-71,047-385-0117,35.796348,139.99037,,,
松戸市立矢切分館,,図書館,271-0094,松戸市上矢切299-1,047-268-1243,35.769051,139.897215,,,
松戸市立八柱分館,,図書館,270-2267,松戸市牧の原1-193-6,047-387-2613,35.790233,139.946162,,,
松戸市立和名ヶ谷分館,,図書館,270-2232,松戸市和名ヶ谷1360,047-392-1102,35.777128,139.918923,,,
千葉県立西部図書館,,図書館,270-2252,松戸市千駄堀 657-7,047-385-4133,35.798702,139.940601,,,
森のホール21,,文化施設,,松戸市千駄堀646-4,047-384-5050,35.799339,139.940636,,,
勤労会館,,文化施設,,根本8-11,047-365-9666,35.787075,139.899039,,,
市民会館,,文化施設,,松戸市松戸1389-1,047-368-1237,35.780952,139.900369,,,
市民劇場,,文化施設,,松戸市本町11-6,047-368-0070,35.785056,139.897483,,,
女性センター,,文化施設,,松戸市本町14-10,047-364-8778,35.786155,139.8984,,,
青少年会館,,文化施設,,松戸市新松戸南2-2,047-344-8556,35.821323,139.91201,,,
青少年会館樋野口分館,,文化施設,,松戸市樋野口543,047-369-0440,35.791585,139.89556,,,
戸定が丘歴史公園,,文化施設,,松戸714-1,047-362-2050,35.777627,139.898958,,,
戸定歴史館,,文化施設,,松戸市松戸714-1,047-362-2050,35.777924,139.899494,,,
博物館,,文化施設,,松戸市千駄堀671,047-384-8181,35.800992,139.939424,,,
文化ホール,,文化施設,,松戸市松戸1307-1松戸ビル,047-367-7810,35.782441,139.89928,,,
矢切公民館,,文化施設,,松戸市上矢切299-1総合福祉会館内,047-368-1214,35.769051,139.897216,,,
松戸市市民交流会館（文化施設）,,文化施設,,松戸市新松戸7-192-1,047-349-6530,35.830869,139.905366,,,